ProductID,ProductShortName,Price,DateTime,Rating,Error,URL,ProductLongName
B09HF4LPR5,Apple Watch Series 7 GPS + Cellular 45mm,799,2/1/2023 23:10,4.8,,https://www.amazon.com/gp/product/B09HF4LPR5,"Apple Watch Series 7 [GPS + Cellular 45mm] Smart watch w/ Graphite Stainless Steel Case with Graphite Milanese Loop. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant"
B00H8I4C0Q,DHP Bombay Metal Platform Bed with Parisian Style ,115,2/1/2023 23:11,4.6,,https://www.amazon.com/gp/product/B00H8I4C0Q,"DHP Bombay Metal Platform Bed with Parisian Style Headboard and Footboard, Adjustable Base Height for Underbed Storage, No Box Spring Needed, Twin, White"
B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins,27.2,2/1/2023 23:11,4.8,,https://www.amazon.com/dp/B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins & Herbal Defense - Immune System Support Supplement & Immunity Booster* - 180 Tablets
B00EYVRX0Q,Paula's Choice RESIST SPF 30,37,2/1/2023 23:11,4.4,,https://www.amazon.com/gp/product/B00EYVRX0Q,"Paula's Choice RESIST Super-Light Daily Wrinkle Defense SPF 30 Matte Tinted Face Moisturizer, UVA & UVB Protection, Mineral Sunscreen for Oily Skin, Fragrance-Free & Paraben-Free, 2 Ounces"
B09BG9CRVC,Eucerin Intens. Repair Essential Oil Balm,11.99,2/1/2023 23:11,4.6,,https://www.amazon.com/gp/product/B09BG9CRVC,"Eucerin Intensive Repair Essential Oil Balm, Body Balm for Very Dry Skin with Skin Essential Oils Shea Butter and Sunflower Oil, 7 Oz"
B09HF4LPR5,Apple Watch Series 7 GPS + Cellular 45mm,799,2/1/2023 23:14,4.8,,https://www.amazon.com/gp/product/B09HF4LPR5,"Apple Watch Series 7 [GPS + Cellular 45mm] Smart watch w/ Graphite Stainless Steel Case with Graphite Milanese Loop. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant"
B00H8I4C0Q,DHP Bombay Metal Platform Bed with Parisian Style ,115,2/1/2023 23:14,4.6,,https://www.amazon.com/gp/product/B00H8I4C0Q,"DHP Bombay Metal Platform Bed with Parisian Style Headboard and Footboard, Adjustable Base Height for Underbed Storage, No Box Spring Needed, Twin, White"
B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins,27.2,2/1/2023 23:14,4.8,,https://www.amazon.com/dp/B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins & Herbal Defense - Immune System Support Supplement & Immunity Booster* - 180 Tablets
B00EYVRX0Q,Paula's Choice RESIST SPF 30,37,2/1/2023 23:14,4.4,,https://www.amazon.com/gp/product/B00EYVRX0Q,"Paula's Choice RESIST Super-Light Daily Wrinkle Defense SPF 30 Matte Tinted Face Moisturizer, UVA & UVB Protection, Mineral Sunscreen for Oily Skin, Fragrance-Free & Paraben-Free, 2 Ounces"
B09BG9CRVC,Eucerin Intens. Repair Essential Oil Balm,11.99,2/1/2023 23:14,4.6,,https://www.amazon.com/gp/product/B09BG9CRVC,"Eucerin Intensive Repair Essential Oil Balm, Body Balm for Very Dry Skin with Skin Essential Oils Shea Butter and Sunflower Oil, 7 Oz"
B09HF4LPR5,Apple Watch Series 7 GPS + Cellular 45mm,799.00,02/01/2023 23:17:29,4.8,,https://www.amazon.com/gp/product/B09HF4LPR5,"Apple Watch Series 7 [GPS + Cellular 45mm] Smart watch w/ Graphite Stainless Steel Case with Graphite Milanese Loop. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant"
B00H8I4C0Q,DHP Bombay Metal Platform Bed with Parisian Style ,115.00,02/01/2023 23:17:32,4.6,,https://www.amazon.com/gp/product/B00H8I4C0Q,"DHP Bombay Metal Platform Bed with Parisian Style Headboard and Footboard, Adjustable Base Height for Underbed Storage, No Box Spring Needed, Twin, White"
B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins,27.20,02/01/2023 23:17:35,4.8,,https://www.amazon.com/dp/B000GFPD10,Source Naturals Wellness Formula Bio-Aligned Vitamins & Herbal Defense - Immune System Support Supplement & Immunity Booster* - 180 Tablets
B00EYVRX0Q,Paula's Choice RESIST SPF 30,37.00,02/01/2023 23:17:39,4.4,,https://www.amazon.com/gp/product/B00EYVRX0Q,"Paula's Choice RESIST Super-Light Daily Wrinkle Defense SPF 30 Matte Tinted Face Moisturizer, UVA & UVB Protection, Mineral Sunscreen for Oily Skin, Fragrance-Free & Paraben-Free, 2 Ounces"
B09BG9CRVC,Eucerin Intens. Repair Essential Oil Balm,11.99,02/01/2023 23:17:42,4.6,,https://www.amazon.com/gp/product/B09BG9CRVC,"Eucerin Intensive Repair Essential Oil Balm, Body Balm for Very Dry Skin with Skin Essential Oils Shea Butter and Sunflower Oil, 7 Oz"
